,max_bid,min_ask
877,261,272
878,261,272
879,261,272
880,262,272
881,262,272
882,262,272
883,262,272
884,262,272
885,263,272
886,263,272
887,264,272
888,264,272
889,264,272
890,264,272
891,264,272
892,265,272
893,265,272
894,265,272
895,265,272
896,265,272
897,265,271
898,265,271
899,265,271
900,265,270
901,266,270
902,266,270
903,267,270
904,267,270
905,267,270
906,267,270
907,267,270
908,267,270
909,267,270
910,267,269
911,267,269
912,267,269
913,267,269
914,267,269
915,267,268
916,267,268
917,267,268
918,267,268
919,267,268
920,267,268
921,267,268
922,267,268
923,267,268
924,267,268
925,267,268
926,267,268
927,267,268
928,267,268
929,260,268
930,260,267
931,260,267
932,260,267
933,260,267
934,260,267
935,260,266
936,260,266
937,260,265
938,260,265
939,260,265
940,260,265
941,260,265
942,260,265
943,260,265
944,260,265
945,260,264
946,260,264
947,260,264
948,260,264
949,260,264
950,260,264
951,260,264
952,260,264
953,260,264
954,260,264
955,260,264
956,260,270
957,260,270
958,260,262
959,260,262
960,260,262
961,260,262
962,260,262
963,260,262
964,260,262
965,256,262
966,256,262
967,256,262
968,256,262
969,256,262
970,256,262
971,256,262
972,256,262
973,256,257
974,256,257
975,256,257
976,256,257
977,256,257
978,256,257
979,256,257
980,256,257
981,256,257
982,256,257
983,256,257
984,256,257
985,256,257
986,256,257
987,256,257
988,256,257
989,254,257
990,254,257
991,254,257
992,254,257
993,254,257
994,254,257
995,254,257
996,254,257
997,254,257
998,254,257
999,254,257
1000,254,257
1001,254,257
1002,255,257
1003,255,257
1004,255,257
1005,255,264
1006,255,264
1007,255,264
1008,261,264
1009,261,264
1010,261,264
1011,261,264
1012,262,264
1013,262,264
1014,262,264
1015,262,264
1016,262,264
1017,262,264
1018,262,264
1019,262,264
1020,263,264
1021,263,264
1022,263,264
1023,263,264
1024,263,264
1025,263,264
1026,263,264
1027,263,264
1028,263,264
1029,263,264
1030,263,264
1031,263,264
1032,263,264
1033,263,264
1034,263,264
1035,263,264
1036,263,264
1037,263,264
1038,263,264
1039,263,264
1040,263,264
1041,263,264
1042,263,264
1043,263,264
1044,263,264
1045,263,264
1046,263,264
1047,263,264
1048,263,264
1049,263,264
1050,263,264
1051,263,264
1052,263,264
1053,263,264
1054,263,264
1055,263,264
1056,263,270
1057,263,270
1058,263,270
1059,263,270
1060,264,270
1061,264,270
1062,264,270
1063,264,270
1064,264,270
1065,264,270
1066,264,270
1067,264,270
1068,265,270
1069,265,270
1070,266,270
1071,266,270
1072,266,270
1073,266,270
1074,261,270
1075,261,269
1076,261,269
1077,261,269
1078,261,269
1079,261,263
1080,261,263
1081,261,263
1082,261,263
1083,261,263
1084,261,263
1085,261,263
1086,261,263
1087,261,263
1088,261,262
